,Id,NODE_TYPE,NODE_NAME,TURN_P,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,TMPID,UPLOAD_ID,latitude,longitude
0,2060002800,101,¿îÁßIC,0,,sn_si-kg,5,00000,206,999,,37.3906703392734,127.06047738697119
1,2060001500,101,-,1,,sn_si-kg,5,00000,206,999,,37.3778199637585,127.13785697975176
2,2060001300,101,Àå¾È»ï°Å¸®,0,,sn_si-kg,5,00000,206,999,,37.37452377715356,127.14237076245111
3,2060001200,101,-,1,,sn_si-kg,5,00000,206,999,,37.373728120102804,127.14534573131793
4,2060001100,101,À²µ¿°ø¿øÀÔ±¸»ï°Å¸®,1,,sn_si-kg,5,00000,206,999,,37.37223396444666,127.14707226236744
5,2060001000,101,-,1,,sn_si-kg,5,00000,206,999,,37.37208336975348,127.14718388676555
6,2060000900,101,-,1,,sn_si-kg,5,00000,206,999,,37.370956089033,127.14760201252885
7,2060000800,101,-,1,,sn_si-kg,5,00000,206,999,,37.36960946420797,127.14816729299844
8,2060000700,101,-,1,,sn_si-kg,5,00000,206,999,,37.368855557917634,127.14863582425296
9,2060000600,101,-,0,,sn_si-kg,5,00000,206,999,,37.36310396366379,127.14938441837465
10,2060000500,105,-,0,,sn_si-kg,5,00000,206,999,,37.36052602606361,127.14754673037964
11,2060000100,101,¸Ó³»±³Â÷·Î,0,,sn_si-kg,5,00000,206,999,,37.34253899494014,127.10234182451558
12,2060043100,104,ÇÏÅ¾ÁöÇÏÂ÷µµ,0,,sn_si-kg,5,00000,206,999,,37.40285483901818,127.12825623139838
13,2060052100,101,-,0,,sn_si-kg,5,00000,206,999,,37.41233627711653,127.1239881372606
14,2060054600,101,-,0,,sn_si-kg,5,00000,206,999,,37.41384480729074,127.1239878867503
15,2060054500,101,-,0,,sn_si-kg,5,00000,206,999,,37.41383458849139,127.12500216828339
16,2060052300,101,-,0,,sn_si-kg,5,00000,206,999,,37.41234099575731,127.12500891721005
17,2060050100,101,-,0,,sn_si-kg,5,00000,206,999,,37.4103720887462,127.13044029359139
18,2060050800,101,-,1,,sn_si-kg,5,00000,206,999,,37.41131815140428,127.1287082612754
19,2060050900,101,-,0,,sn_si-kg,5,00000,206,999,,37.41133680839914,127.12954516816293
20,2060052500,101,-,0,,sn_si-kg,5,00000,206,999,,37.412343682764025,127.12954429276989
21,2060027000,103,-,0,,sn_si-kg,5,00000,206,999,,37.37474180722649,127.12096948035652
22,2060029400,101,-,0,,sn_si-kg,5,00000,206,999,,37.377336338456004,127.11623951165107
23,2060001702,101,-,0,,sn_si-kg,5,00000,206,999,,37.36961558870287,127.101666542947
24,2060023400,102,-,0,,sn_si-kg,5,00000,206,999,,37.37081705767958,127.0928055115897
25,2060002801,101,-,0,,sn_si-kg,5,00000,206,999,,37.390309932153066,127.05756885582082
26,2060030400,102,-,0,,sn_si-kg,5,00000,206,999,,37.3782534638779,127.04798423114033
27,2060039300,101,-,0,,sn_si-kg,5,00000,206,999,,37.38914071427648,127.05923848064438
28,2060030200,102,-,0,,sn_si-kg,5,00000,206,999,,37.378012869853954,127.07920301255
29,2060040700,101,-,0,,sn_si-kg,5,00000,206,999,,37.39175583876211,127.06233285460921
30,2060033900,101,-,0,,sn_si-kg,5,00000,206,999,,37.38222243305624,127.08264676183995
31,2060034200,101,-,0,,sn_si-kg,5,00000,206,999,,37.38273336973483,127.08490151136871
32,2060001900,101,¾È°ñÀÔ±¸»ï°Å¸®,0,º¸¿Ï,sn_si-kg,5,00000,206,999,,37.38284380808419,127.13219554283354
33,2060002000,101,»õ¸¶À»¿¬¼ö¿øÀÔ±¸»ï°Å¸®,1,º¸¿Ï,sn_si-kg,5,00000,206,999,,37.383861870038544,127.1305626995317
34,2060035800,104,ÀÌ¸ÅÁöÇÏÂ÷µµ,0,º¸¿Ï,sn_si-kg,5,00000,206,999,,37.384846589117615,127.12524782414712
35,2060002100,101,ÀÌ¸Å»ç°Å¸®,1,º¸¿Ï,sn_si-kg,5,00000,206,999,,37.386232089006164,127.12678554308044
36,2060002500,101,-,1,º¸¿Ï,sn_si-kg,5,00000,206,999,,37.38896487055484,127.12377185494316
37,2060002200,101,-,1,º¸¿Ï,sn_si-kg,5,00000,206,999,,37.38780849547534,127.12504194940047
38,2060038600,104,ÀÌ¸ÅÁöÇÏÂ÷µµ,0,º¸¿Ï,sn_si-kg,5,00000,206,999,,37.3878752141012,127.12779663725827
39,2060039700,101,-,0,,sn_si-kg,5,00000,206,999,,37.3900824944343,127.12822735615435
40,2060040000,101,-,0,º¸¿Ï,sn_si-kg,5,00000,206,999,,37.39071474477456,127.12820879308329
41,2060041100,101,-,1,,sn_si-kg,5,00000,206,999,,37.39310590161477,127.12827091764227
42,2060041000,101,-,0,º¸¿Ï,sn_si-kg,5,00000,206,999,,37.39232418295387,127.12445310510086
43,2060040200,101,-,0,º¸¿Ï,sn_si-kg,5,00000,206,999,,37.39072658948469,127.12622563681826
44,2060038900,101,»õ¸¶À»±æ,0,º¸¿Ï,sn_si-kg,5,00000,206,999,,37.38848077660878,127.12311648063427
45,2060038500,101,-,0,º¸¿Ï,sn_si-kg,5,00000,206,999,,37.387859776174516,127.12382526108995
46,2060038400,101,-,0,º¸¿Ï,sn_si-kg,5,00000,206,999,,37.38736412034556,127.12313369867535
47,2060038300,101,-,1,º¸¿Ï,sn_si-kg,5,00000,206,999,,37.387357151633,127.12439857355923
48,2060038000,101,-,0,º¸¿Ï,sn_si-kg,5,00000,206,999,,37.3868750571321,127.12492891838694
49,2060037900,101,-,0,º¸¿Ï,sn_si-kg,5,00000,206,999,,37.3868483702312,127.12368210526235
50,2060037400,101,-,0,º¸¿Ï,sn_si-kg,5,00000,206,999,,37.386366057710845,127.12425832508073
51,2060036900,101,-,0,º¸¿Ï,sn_si-kg,5,00000,206,999,,37.38576321391217,127.12346426256279
52,2060030700,101,-,1,º¸¿Ï,sn_si-kg,5,00000,206,999,,37.37840062003574,127.12595029292878
53,2060031900,101,-,1,,sn_si-kg,5,00000,206,999,,37.38038027587899,127.12872782485847
54,2060032600,101,-,1,,sn_si-kg,5,00000,206,999,,37.38093424516228,127.12948051183416
55,2060040500,101,-,0,,sn_si-kg,5,00000,206,999,,37.39128130684628,127.12857373095397
56,2060033400,101,-,0,,sn_si-kg,5,00000,206,999,,37.38178605714121,127.1307103560751
57,2060031100,101,-,0,,sn_si-kg,5,00000,206,999,,37.379345681993776,127.12991804338883
58,2060031200,101,-,0,,sn_si-kg,5,00000,206,999,,37.37947718294273,127.12752216820384
59,2060030800,101,-,0,,sn_si-kg,5,00000,206,999,,37.37851043257295,127.12871013735935
60,2060035100,101,-,0,,sn_si-kg,5,00000,206,999,,37.38381408858763,127.12537026230942
61,2060034600,101,-,0,,sn_si-kg,5,00000,206,999,,37.383299713209276,127.12465776170814
62,2060030500,101,-,0,,sn_si-kg,5,00000,206,999,,37.37826565109863,127.13296266880468
63,2060034900,101,-,0,º¸¿Ï,sn_si-kg,5,00000,206,999,,37.38373008869618,127.13332657422067
64,2060039800,102,-,0,,sn_si-kg,5,00000,206,999,,37.39029030772697,127.13291244880917
65,2060033800,101,¼­Çö»ç°Å¸®,1,,sn_si-kg,5,00000,206,999,,37.38219777655057,127.1217187618427
66,2060031600,101,ºÐ´ç»ç°Å¸®,1,º¸¿Ï,sn_si-kg,5,00000,206,999,,37.37996468343852,127.1185947617036
67,2060032400,101,-,1,,sn_si-kg,5,00000,206,999,,37.38086258833717,127.11754479342528
68,2060033200,101,-,1,º¸¿Ï,sn_si-kg,5,00000,206,999,,37.381722088838,127.11659319972397
69,2060032900,104,¹éÇöÁöÇÏÂ÷µµ,0,,sn_si-kg,5,00000,206,999,,37.38142224524734,127.11166726204942
70,2060034100,104,ÃÊ¸²ÁöÇÏÂ÷µµ,0,,sn_si-kg,5,00000,206,999,,37.38256818218391,127.11272466823081
71,2060035500,101,¼ö³»»ç°Å¸®,1,º¸¿Ï,sn_si-kg,5,00000,206,999,,37.3840116515188,127.11400023061589
